ea1 eb1 ec1 epa1 epb1 epc1
2.845226 2.243616 0.1415966 0.1339851 0.02596187 0.001915657
2.614818 1.830454 0.2255069 0.1092558 0.01922189 0.002753123
0.9019088 2.275039 0.1601854 0.05859748 0.04940115 0.009716029
2.321225 2.592561 0.1329454 0.1398788 0.04484575 0.001962737
1.17029 0.7362905 0.1444601 0.0439064 0.03766906 0.01371977
6.670809 2.377895 0.2082628 0.4283648 0.02283586 0.001849967
3.569 2.082567 0.1067302 0.1318209 0.01886412 0.00157349
0.6246396 1.857892 0.1790781 0.06048221 0.09594799 0.02807458
1.830037 1.806324 0.1796789 0.07079348 0.02229206 0.003664493
1.055089 -0.1279002 0.1983914 0.0465926 0.0919662 0.03186214
1.784762 1.916987 0.1818072 0.07285296 0.02491408 0.003578116
1.646975 -0.2958517 0.06355405 0.03867235 0.02959176 0.01576176
2.146302 2.117679 0.2239403 0.1153076 0.0284955 0.003048933
1.021004 0.0746996 0.03160195 0.01890787 0.02292521 0.008167411
2.156453 1.715496 0.2453648 0.09119361 0.02010222 0.003593491
4.240445 2.690802 0.1072626 0.2878142 0.03819857 0.001424977
1.080367 2.465149 0.1977084 0.08001908 0.05954597 0.007317206
0.9519412 2.712959 0.1347022 0.05832694 0.06971897 0.006203511
2.138993 2.731256 0.2247992 0.1957345 0.06784088 0.002555833
1.536049 0.9145825 0.1754577 0.04938271 0.02196165 0.007891885
2.173527 2.776674 0.04692602 0.104536 0.04923198 0.001241031
2.468683 2.195884 0.2263442 0.1442311 0.02894188 0.002636059
0.2319183 7.97284 0.1351494 0.06340889 0.9042419 0.04056572
2.09344 1.309587 0.3209753 0.07685261 0.01877685 0.004499848
2.116293 1.674063 0.1751032 0.07486624 0.01839532 0.003284509
1.236806 1.408135 0.1811235 0.05308456 0.02680774 0.008607068
0.6059665 15.87069 0.1043672 0.3535802 8.326868 0.001369678
2.042638 3.226264 0.1760276 0.2496249 0.1307951 0.002152188
1.303508 3.834635 0.1487668 0.1585836 0.2309144 0.0027145
4.253542 2.463757 0.2083546 0.2989948 0.03059689 0.001897906
1.100964 1.315692 0.09617754 0.04028567 0.02638497 0.008955425
1.988441 2.23311 0.1971152 0.106666 0.03331692 0.002970743
1.11629 3.677622 0.1404677 0.1340732 0.2065201 0.004147754
3.045169 1.828368 0.2653864 0.1549713 0.01830681 0.002754898
2.202877 2.415727 0.2706869 0.2027439 0.04610073 0.003214687
2.543293 3.389104 0.1280354 0.3727483 0.1607989 0.001607285
1.501665 2.663745 0.07183665 0.06969866 0.05153813 0.002374304
2.09707 0.7686889 0.1479611 0.05779917 0.01525506 0.005807256
2.095061 1.652778 0.2184538 0.08113473 0.01907972 0.003622274
3.753078 1.97198 0.0784725 0.1272833 0.01621953 0.001407055
3.745091 1.757567 0.0799425 0.1180939 0.01358167 0.001538927
3.439575 1.949782 0.2112379 0.1716591 0.0183166 0.002261325
2.07927 3.133492 0.1737707 0.2739394 0.1147169 0.002347978
2.885945 1.790865 0.1636426 0.1121054 0.01681867 0.00233467
2.567579 1.919465 0.2021015 0.1183208 0.02076006 0.002668699
0.6700475 3.36475 0.1516859 0.08583897 0.1485812 0.01537667
0.4297406 3.550977 0.1437993 0.06526843 0.1452369 0.03204271
2.967553 3.257759 0.1628995 0.3513855 0.1009445 0.001711609
2.502665 1.847371 0.1082216 0.08015801 0.01809269 0.002071256
1.222362 1.001446 0.1088832 0.04356053 0.02919419 0.0108626
2.447561 2.322218 0.2188486 0.1369004 0.03406459 0.002367188
1.518834 2.808572 0.1692284 0.1139601 0.07351827 0.003347241
2.041439 1.701028 0.1850382 0.08094855 0.01914624 0.003603373
2.60951 1.176411 0.2083368 0.0792571 0.01354475 0.00373371
1.972983 1.995331 0.2181061 0.09784306 0.02629068 0.003450255
2.642149 1.820992 0.1553557 0.1053771 0.01786701 0.002476079
1.932531 1.897436 0.1256907 0.06652134 0.02207111 0.002788645
1.728799 1.466634 0.1270543 0.05928084 0.0177152 0.004815069
3.968108 1.240586 0.1305434 0.1240555 0.01033323 0.002366165
2.17925 2.373053 0.1795442 0.1179451 0.03680917 0.002405434
1.881134 2.780166 0.1942809 0.1388667 0.06628317 0.002552514
2.471018 2.761304 0.2594049 0.1761154 0.0605407 0.002194236
2.410005 2.017382 0.1580095 0.1073649 0.02277895 0.002491448
0.3372877 5.055752 0.08322513 0.03908434 0.2703989 0.02054192
2.253215 3.137867 0.1068156 0.1637201 0.08096451 0.001574395
0.9394518 1.943497 0.1756373 0.06347478 0.03991466 0.01253106
4.581494 2.756919 0.1882123 0.3711286 0.04342567 0.001778357
2.603479 1.035113 0.1264459 0.06692582 0.01200854 0.003618999
1.88912 1.805786 0.1430058 0.07559319 0.02084588 0.003605412
0.8684729 0.2710197 0.08654637 0.02929203 0.06494409 0.02130669
1.664495 3.132006 0.1548343 0.1424976 0.1003407 0.002472333
1.092211 0.8059708 0.04130383 0.02734766 0.02583623 0.009095346
0.9570582 3.906433 0.202317 0.1386338 0.2675581 0.005762595
2.770223 1.359458 0.2111847 0.08897414 0.0136207 0.003128587
2.155997 0.9300319 0.2036576 0.06659043 0.01663921 0.005780688
1.009332 3.681817 0.258119 0.1721851 0.270719 0.006701321
2.888874 1.038478 0.1521245 0.08162965 0.01189533 0.003612987
1.483321 2.325319 0.2463898 0.09039047 0.04534539 0.004310907
3.559193 3.116754 0.2864517 0.4323529 0.08863636 0.002052134
2.172442 2.868776 0.2367679 0.2076087 0.07562729 0.002424961
2.050684 1.476103 0.1049721 0.06523954 0.01528611 0.003612183
1.384166 -0.9656905 0.145903 0.04326433 0.08045374 0.04314944
1.849761 3.700236 0.2030989 0.2478104 0.2058684 0.002078097
1.841661 1.291537 0.1061546 0.05356362 0.01547505 0.004455397
0.268005 3.072346 0.06362811 0.01582429 0.2035033 0.01812314
2.316835 2.959387 0.1591769 0.191957 0.07244613 0.001933888
